SubFunctionID|Descr|FunctionID
238|HR Operations|4
239|Background Verification|4
240|Diversity & Inclusion|4
241|Exit Management|4
242|Head - HR|4
243|Head - HRBP|4
244|Head - Shared Services|4
245|HR Analyst|4
246|HR Business Partner (HRBP)|4
247|HR Generalist|4
248|Outplacement|4
249|Shared Services|4
250|HR Operations - Other|4
251|Recruitment & Talent Acquisition|4
252|Blue Collar Recruiter|4
253|Campus Recruitment / Campus Relations|4
254|Head - Recruitment|4
255|IT Recruiter|4
256|Leadership Recruiter|4
257|Non IT Recruiter|4
258|Staffing Management|4
259|Recruitment & Talent Acquisition - Other|4
260|Recruitment Marketing & Branding|4
261|Employer / Employee Branding|4
262|Recruitment Marketing & Branding - Other|4
263|Human Resources - Other|4
264|IT Infrastructure Services|5
265|Cloud System Administration|5
266|Configuration and Deployment Management|5
267|Data Centre Ops and Server Management|5
268|Incident Management|5
269|Infrastructure Architect|5
270|IT Audit|5
271|IT Operations Management|5
272|IT Vendor Management|5
273|Network Manager|5
274|Software Compliance - License Management|5
275|System Analyst|5
276|IT Infrastructure Services - Other|5
277|IT Security|5
278|Application Security Engineer|5
279|Chief Information Security Officer (CISO)|5
280|Cyber Security|5
281|DevSec Engineer|5
282|Head - Information Security|5
283|Manager Information Security|5
284|Network Security Engineer|5
285|Security Administrator|5
286|Security Architect / Consultant|5
287|Security Auditor|5
288|Security Engineer / Analyst|5
289|System Security Engineer|5
290|IT Security - Other|5
291|IT Support|5
292|Desktop Engineer|5
293|Head - Tech Support|5
294|IT Asset Management|5
295|Problem Management|5
296|IT Support - Other|5
297|IT & Information Security - Other|5
298|Advertising & Creative|6
299|Account Director|6
300|Advertising Management|6
301|Art Direction (Advertisement)|6
302|Client Servicing|6
303|Copywriter|6
304|Head - Creative|6
305|Media Buying|6
306|Media Planning|6
307|Visualiser|6
308|Advertising & Creative - Other|6
309|Corporate Communication|6
310|Analyst Relations|6
311|Channel Partner / Client Relations|6
312|Community Management|6
313|Head - Client Relations|6
314|Head - Corporate Communication|6
315|Head - Media Relations|6
316|Public Relations|6
317|Social Responsibility Marketing (CSR)|6
318|Corporate Communication - Other|6
319|Digital Marketing|6
320|Campaign Manager|6
321|Content Marketing Manager|6
322|Email Marketing|6
323|Growth Marketing|6
324|Head - Digital Marketing|6
325|Marketing Automation Specialist|6
326|Performance Marketing Manager|6
327|SEM / PPC Specialist|6
328|SEO|6
329|Social Media Marketing|6
330|Digital Marketing - Other|6
331|Market Research & Insights|6
332|Market Research / Insights Head|6
333|Market Research Executive|6
334|Market Research Manager|6
335|Market Research & Insights - Other|6
336|Marketing|6
337|Affiliate Marketing|6
338|Brand Management|6
339|Creative Marketing|6
340|Direct Marketing|6
341|Event Marketing|6
342|Head - Marketing|6
343|Marketing Manager|6
344|Medical Representative (MR)|6
345|Product Marketing|6
346|Marketing - Other|6
347|Marketing and Communication - Other|6
348|Product Management - Technology|7
349|Product Analyst|7
350|Product Head|7
351|Product Manager|7
352|Product Operations Associate / Lead|7
353|Technical Product Manager|7
354|Technology Product Management - Other|7
355|Product Management - Other|7
356|Product Manager - Cards|7
357|Product Manager - Insurance|7
358|Product Manager - Loans|7
359|Product Manager - Pharma|7
360|Product Manager - Other|7
361|Engineering|8
362|Additive Manufacturing (3D Printing)|8
363|Application Engineer|8
364|Assembly Engineer|8
365|Automation Engineer|8
366|Design Engineer|8
367|Electrical / Electronics Engineer|8
368|Environmental Engineer|8
369|Industrial Engineer|8
370|Instrumentation Engineer|8
371|Manufacturing Engineer|8
372|Manufacturing Engineering Manager|8
373|Mechanical Engineer|8
374|Mechatronics Engineer|8
375|MEP Engineer|8
376|PPC Engineer|8
377|Process Engineer|8
378|Product Engineer|8
379|Production Engineer|8
380|Tool Room Engineer|8
381|Engineering - Other|8
382|Management|8
383|Maintenance Head|8
384|Manufacturing Operations Manager|8
385|Plant / Factory Head|8
386|Plant / Factory Manager|8
387|Production / Manufacturing Head|8
388|Service Head|8
389|Management - Other|8
390|Operations, Maintenance & Support|8
391|Assembly Line Operator|8
392|Chemist|8
393|Electrician|8
394|Fitter / Turner|8
395|Foreman / Technician|8
396|HVAC Supervisor|8
397|Line Leader / Supervisor|8
398|Machine Operator / Machinist|8
399|Machine Shop Incharge / Supervisor|8
400|Maintenance Engineer|8
401|MEP Supervisor|8
402|Production Manager / Supervisor|8
403|Service / Maintenance Supervisor|8
404|Service Engineer|8
405|Site Supervisor|8
406|Tool & Die Maker|8
407|Tool Room Manager|8
408|Welder|8
409|Welding Inspector / Supervisor|8
410|Workshop Manager / Supervisor|8
411|Operations, Maintenance & Support - Other|8
412|Production & Manufacturing - Others|8
413|Construction / Manufacturing|9
414|Program Manager - Manufacturing|9
415|Project Head - Construction|9
416|Project Head - Manufacturing|9
417|Project Manager - Construction|9
418|Project Manager - Manufacturing|9
419|Construction / Manufacturing - Other|9
420|Finance|9
421|Finance Program Manager|9
422|Finance Project Head|9
423|Finance Project Manager|9
424|Finance - Other|9
425|Technology / IT|9
426|Change Manager|9
427|Director - Program Management|9
428|Hardware & Network - Project Management|9
429|Head - Program Management|9
430|IT Project Lead|9
431|IT Project Manager|9
432|Principal Program Manager|9
433|Program Manager - Technology / IT|9
434|Technology / IT - Other|9
435|Other Program / Project Management|9
436|Document Controller|9
437|Head - Program / Project|9
438|Implementation Manager|9
439|PMO Executive|9
440|Program Manager|9
441|Project Coordinator|9
442|Project Manager|9
443|Project Planner / Scheduler|9
444|Other Program / Project Man|9
445|Business Process Quality|10
446|Call Quality Analyst|10
447|Head - Quality|10
448|Process / Operational Excellence|10
449|Process Excellence / Six Sigma Manager|10
450|Quality Analyst|10
451|Quality Auditor / Inspector|10
452|Quality Manager / Supervisor|10
453|Quality Specialist|10
454|Business Process Quality - Other|10
455|Production & Manufacturing|10
456|IPQA Officer|10
457|QA / QC Analyst|10
458|QA / QC Executive|10
459|QA / QC Manager|10
460|QC / Lab Chemist|10
461|QC Microbiologist|10
462|Quality Engineer|10
463|Quality Head|10
464|Production & Manufacturing - Other|10
465|Quality Assurance - Other|10
466|Quality Consultant|10
467|Quality Assurance - Other|10
468|BD / Pre Sales|11
469|Bidding / Auction / Proposal|11
470|Business Development Executive (BDE)|11
471|Business Development Manager (BDM)|11
472|Events & Promotions|11
473|Head - BD / Pre Sales|11
474|Lead Generation / Qualification|11
475|Merchant Acquisition - BD / Pre Sales|11
476|Pre Sales Consultant|11
477|Pre Sales Engineer|11
478|Pre Sales Head|11
479|BD / Pre Sales - Other|11
