SubFunctionID|Descr|FunctionID
1035|Publicist|24
1036|Script Editor|24
1037|Sound Editor|24
1038|Story Editor|24
1039|Video Editor|24
1040|Editing - Other|24
1041|Make Up / Costume|24
1042|Costume Designer|24
1043|Hair Dresser|24
1044|Make Up Artist|24
1045|Make Up / Costume - Other|24
1046|Production|24
1047|Assistant Producer|24
1048|Broadcast Engineering|24
1049|Executive Producer|24
1050|Film Producer|24
1051|Line Producer|24
1052|Location Manager|24
1053|Music Producer|24
1054|Producer|24
1055|TV Producer|24
1056|Video Producer|24
1057|Production - Other|24
1058|Sound / Light / Technical Support|24
1059|Boom Operator|24
1060|Camera Operator|24
1061|Electrician|24
1062|Light Engineer|24
1063|Sound Engineer|24
1064|Sound Mixer|24
1065|Spot Boy|24
1066|Stage Manager|24
1067|Sound / Light / Technical Support - Other|24
1068|Media Production & Entertainment - Other|24
1069|Category Management & Operations|25
1070|Category Executive|25
1071|Category Head|25
1072|Category Manager|25
1073|Category Management & Operations - Other|25
1074|eCommerce Operations|25
1075|Catalog Executive|25
1076|Catalog Manager|25
1077|eCommerce Executive|25
1078|eCommerce Manager|25
1079|eCommerce Operations - Other|25
1080|Merchandising & Planning|25
1081|Merchandise / Retail Planner|25
1082|Merchandiser|25
1083|Merchandising Head|25
1084|Merchandising Manager|25
1085|Site Merchandiser|25
1086|Visual Merchandiser|25
1087|Merchandising & Planning - Other|25
1088|Retail Store Operations|25
1089|Assistant Store Manager|25
1090|Customer Service Representative|25
1091|Department / Floor Manager|25
1092|Optometrist|25
1093|Personal Shopper|25
1094|Retail Cashier|25
1095|Retail Operations Manager|25
1096|Retail Sales Associate|25
1097|Retail Store Auditor|25
1098|Retail Store Manager|25
1099|Retail Team Leader|25
1100|Sales Advisor|25
1101|Shift Supervisor|25
1102|Merchandising & Planning - Other|25
1103|Merchandising, Retail & eCommerce - Other|25
1104|Import & Export|26
1105|Documentation Executive|26
1106|Export / Import Executive|26
1107|Export / Import Manager|26
1108|Import & Export - Other|26
1109|Procurement & Purchase|26
1110|Buyer / Senior Buyer|26
1111|Chief Purchase Officer / Chief Procurement Officer (CPO)|26
1112|Commodity Manager|26
1113|Procurement / Purchase Engineer|26
1114|Procurement / Purchase Manager|26
1115|Procurement / Sourcing Head|26
1116|Procurement Analyst|26
1117|Procurement Category Manager|26
1118|Purchase Executive / Officer|26
1119|Strategic Sourcing Manager|26
1120|Vendor Relations|26
1121|Procurement & Purchase - Other|26
1122|SCM & Logistics|26
1123|Cluster / Hub Manager|26
1124|Delivery Executive|26
1125|Dispatch Executive / Officer|26
1126|Fleet / Transport Manager|26
1127|Forklift Operator|26
1128|Head - Logistics / SCM|26
1129|Logistics / SCM Analyst|26
1130|Logistics / SCM Engineer|26
1131|Logistics Executive|26
1132|Logistics Manager|26
1133|Logistics Operations Manager|26
1134|Supply Chain Manager|26
1135|Warehouse Executive|26
1136|Warehouse Manager|26
1137|SCM & Logistics - Other|26
1138|Stores & Material Management|26
1139|Demand Planner|26
1140|Inventory Controller|26
1141|Materials / Inventory Analyst|26
1142|Materials Manager|26
1143|Store Executive|26
1144|Store Keeper / Manager|26
1145|Supply Planner|26
1146|Stores & Material Management - Other|26
1147|Procurement & Supply Chain - Other|26
1148|Engineering & Manufacturing|27
1149|CFD Engineer|27
1150|Chemical Research Scientist|27
1151|Product Development Engineer|27
1152|Product Development Manager|27
1153|Head - Design & Development|28
1154|Material Scientist|28
1155|Process Engineer|29
1156|Engineering & Manufacturing - Other|29
1157|Design Engineer|30
1158|Design Manager|30
1159|Pharmaceutical & Biotechnology|31
1160|Bio Technologist|31
1161|Biologist|31
1162|Clinical research Scientist|31
1163|Formulation Scientist|31
1164|Head - R & D|31
1165|Manager - R & D|31
1166|Medical Writer|31
1167|Microbiologist|31
1168|Molecular Biologist|31
1169|Research Associate / Engineer|31
1170|Research Scientist|31
1171|Pharmaceutical & Biotechnology - Other|31
1172|Research & Development - Other|31
1173|Post Doctoral Researcher|31
1174|Research & Development - Other|31
1175|Assessment / Advisory|32
1176|Risk Analyst|32
1177|Risk Consultant|32
1178|Assessment / Advisory - Other|32
1179|Business|32
1180|Chief Compliance Officer (CCO)|32
1181|Chief Risk Officer (CRO)|32
1182|Insurance Risk|32
1183|Business - Other|32
1184|Finance|32
1185|Credit Risk|32
1186|Financial Crime|32
1187|Investment / Lending Risk|32
1188|Market Risk|32
1189|Risk Modeling|32
1190|Treasury / Liquidity / Equity Trading|32
1191|Valuation Risk|32
1192|Finance - Other|32
1193|Operations / Strategy|32
1194|Competition Risk|32
1195|Enterprise Risk|32
1196|Operational Risk|32
1197|Project / Program Risk|32
1198|Quality Risk|32
1199|Reputation Risk|32
1200|Strategic Risk|32
1201|Operations / Strategy - Other|32
1202|Security / Fraud|32
1203|Anti Money Laundering|32
1204|ATM / Credit Card|32
1205|Cyber Security / IT Risk|32
1206|Fraud Analyst|32
1207|Fraud Detection / Prevention|32
1208|Transaction Risk|32
1209|Security / Fraud - Other|32
1210|Risk Management & Compliance - Other|32
1211|Security Officer|33
1212|Armed Security Guard|33
1213|Border Patrol Agent|33
1214|Ex-Serviceman Armed Security Guard|33
1215|Ex-Serviceman Security Supervisor|33
1216|Ex-Serviceman Unarmed Security Guard|33
1217|Fire Guard|33
1218|Personal Security Officer (PSO)|33
1219|Reception Guard|33
1220|Security Head|33
1221|Security Marshal (Bouncer)|33
1222|Security Supervisor|33
1223|Special Jurisdiction Police Officer|33
1224|Unarmed Security Guard|33
1225|Security Officer - Other|33
1226|Security Services - Other|33
1227|CCTV Operator|33
1228|Private Detective|33
1229|Security Services - Other|33
1230|Port & Maritime Operations|28
1231|Dock Master|28
1232|Dredge Master / Mate|28
1233|Dredging Superintendent|28
1234|Harbour Master|28
1235|Marine / Maritime Pilot|28
1236|Marine Engineer|28
1237|RTG Crane Operator|28
1238|Tug Master|28
1239|Port & Maritime Operations - Other|28
1240|Shipping Deck|28
1241|Able Seaman (AB)|28
1242|Bosun|28
1243|Captain / Master Mariner|28
1244|Chief Officer / Mate|28
1245|Crane Operator|28
1246|Deck Cadet|28
1247|Deck Fitter / Welder|28
1248|Environmental Officer|28
1249|Marine Superintendent|28
1250|Ordinary Seaman (OS)|28
1251|Radio Officer|28
1252|Second Officer / Mate|28
1253|Security Officer|28
1254|Ship Safety Officer|28
1255|Third Officer / Mate|28
1256|Shipping Deck - Other|28
1257|Shipping Engineering & Technical|28
1258|2nd Engineer|28
1259|3rd Engineer|28
1260|4th Engineer|28
1261|5th Engineer / TME|28
1262|Cargo Engineer|28
1263|Chief Engineer|28
1264|Chief ETO|28
1265|Electrician|28
1266|Engine Fitter / Welder|28
1267|ETO / Electrical Engineer|28
1268|Gas Engineer|28
1269|Motorman|28
1270|Oiler|28
1271|Pumpman|28
1272|Reefer Engineer|28
1273|Refrigeration / HVAC Engineer|28
1274|Wiper|28
1275|Shipping Engineering & Technical - Other|28
1276|Shipping & Maritime - Other|28
1277|Chief Cook|28
1278|Cook|28
1279|Purser / First Purser|28
1280|Steward|28
1281|Shipping & Maritime - Other|28
1282|Beauty & Personal Care|29
1283|Beauty Advisor / Beautician|29
1284|Hair Stylist / Hairdresser|29
1285|Makeup Artist|29
1286|Masseur / Masseuse|29
1287|Nail Technician|29
1288|Pedicurist And Manicurist|29
1289|Salon / Health Club Manager|29
1290|Spa Manager / Supervisor|29
1291|Spa Therapist|29
1292|Beauty & Personal Care - Other|29
1293|Health & Fitness|29
1294|Center Head|29
1295|Dietician / Nutritionist|29
1296|Fitness Trainer / Gym Instructor|29
1297|Slimming Head / Manager|29
1298|Yoga Instructor / Trainer|29
1299|Health & Fitness - Other|29
1300|Sports Science & Medicine|29
1301|High Performance Analyst|29
1302|Sports Biomechanist|29
1303|Sports Masseur / Therapist|29
1304|Sports Nutritionist|29
1305|Sports Physician|29
1306|Sports Psychologist|29
1307|Strength & Conditioning|29
1308|Video Analyst|29
1309|Sports Science & Medicine - Other|29
1310|Sports Staff and Management|29
1311|Adventure Sports Guide|29
1312|Kit Manager|29
1313|Lifeguard|29
1314|Mountaineering Instructor|29
1315|Sports Administrator|29
1316|Sports Agent|29
1317|Sports Club Manager|29
1318|Sports Coach|29
1319|Sports Scout|29
1320|Team Manager|29
1321|Umpire / Referee|29
1322|Sports Staff and Management - Other|29
1323|Sports, Fitness & Personal Care - Other|29
1324|Strategic Management|30
1325|Corporate Development Analyst|30
1326|Corporate Development Manager|30
1327|Corporate Planning|30
1328|Strategy Analyst|30
1329|Strategy Manager|30
1330|Strategic Management - Other|30
1331|Top Management|30
1332|Board Member|30
1333|Business Head|30
1334|CFO|30
1335|Chairman|30
1336|CHRO|30
1337|CIO|30
1338|CMO|30
1339|COO|30
1340|Country Head|30
1341|CTO|30
1342|MD / CEO|30
1343|Top Management - Other|30
1344|Strategic & Top Management - Other|30
1345|Administration & Staff|31
1346|Counselor|31
1347|Curriculum Designer|31
1348|Lab Assistant|31
1349|Librarian|31
1350|Principal|31
1351|Proctor / Invigilator|31
1352|Supervisor / Incharge|31
1353|Transcriptionist|31
1354|Translator|31
1355|Vice Principal|31
1356|Warden|31
1357|Administration & Staff - Other|31
1358|Corporate Training|31
1359|Communication Trainer|31
1360|Compliance Trainer|31
1361|Employee Health & Safety Trainer|31
1362|Head - Training & Development|31
1363|Leadership Trainer|31
1364|Process Trainer|31
1365|Product / Service Trainer|31
1366|Quality Trainer|31
1367|Technical Trainer|31
1368|Voice & Accent Trainer|31
1369|Corporate Training - Other|31
1370|Language Teacher|31
1371|Arabic Teacher|31
1372|Bengali Teacher|31
1373|Chinese Teacher|31
1374|English Teacher|31
1375|French Teacher|31
1376|German Teacher|31
1377|Hindi Teacher|31
1378|Italian Teacher|31
1379|Japanese Teacher|31
1380|Marathi Teacher|31
1381|Punjabi Teacher|31
1382|Russian Teacher|31
1383|Sanskrit Teacher|31
1384|Spanish Teacher|31
1385|Tamil Teacher|31
1386|Telugu Teacher|31
1387|Urdu Teacher|31
1388|Language Teacher - Other|31
1389|Life Skills / ECA Teacher|31
1390|Arts Teacher|31
1391|Communication Skills Teacher|31
1392|Dance Teacher|31
1393|Drama / Theater Teacher|31
1394|Home Science Teacher|31
1395|Martial Arts Teacher|31
1396|Music Teacher|31
1397|Sports / Physical Education Teacher|31
1398|Life Skills / ECA Teacher - Other|31
1399|Preschool & Primary Education|31
1400|Day Care Teacher / Incharge / Attendant|31
1401|Nursery Teacher|31
1402|Primary School Teacher|31
1403|Preschool & Primary Education - Other|31
1404|Subject / Specialization Teacher|31
1405|Accountancy Teacher|31
1406|Biology Teacher|31
1407|Biotechnology Teacher|31
1408|Business Studies Teacher|31
1409|Chemistry Teacher|31
1410|Commerce Teacher|31
1411|Computers Teacher|31
1412|Economics Teacher|31
1413|Environmental Science Teacher|31
1414|Finance Teacher|31
1415|Geography Teacher|31
1416|History Teacher|31
1417|Informatics Practices Teacher|31
1418|Mathematics Teacher|31
1419|Physics Teacher|31
1420|Political Science Teacher|31
1421|Psychology Teacher|31
1422|Robotics Teacher|31
1423|Science Teacher|31
1424|Social Studies Teacher|31
1425|Sociology Teacher|31
1426|Special Education Teacher|31
1427|Subject / Specialization Teacher - Other|31
1428|University Level Educator|31
1429|Academic Coordinator|31
1430|Assistant Professor / Lecturer|31
1431|Associate Professor|31
1432|Chairman / Chancellor|31
1433|Dean / Director|31
1434|Placement / Alumni Officer|31
1435|Professor|31
1436|Teaching Assistant|31
1437|Vice - Chancellor|31
1438|Visiting Faculty / Guest Faculty|31
1439|University Level Educator - Other|31
1440|Teaching & Training - Other|31
